state,municipality,address,banner,posted,type,region,group,link
NJ,Sparta,11 Center St,ACME Markets (former),11/12/2016,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2016/11/former-acme-sparta-nj.html
NY,Manhattan,1225 Amsterdam Ave,Appletree Market,11/13/2016,Snapshot,NYC,,https://www.marketreportblog.com/2016/11/appletree-market-morningside-heights-nyc.html
NJ,North Bergen,1425 John F. Kennedy Blvd,Food Bazaar Supermarket,11/13/2016,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2016/11/food-bazaar-north-bergen-nj.html
NJ,Fairview,425 Anderson Ave,Food Bazaar Supermarket,12/4/2016,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2016/12/food-bazaar-fairview-nj.html
NJ,Bloomfield,19 Belleville Ave,SuperFresh Food World,12/4/2016,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2016/12/superfresh-food-world-bloomfield-nj.html
PA,Allentown,704 W Emaus Ave,Superfood Marketplace,12/17/2016,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2016/12/superfood-marketplace-allentown-pa.html
PA,Allentown,702 N 4th St,CTown Supermarkets,12/22/2016,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2016/12/c-town-allentown-pa.html
PA,Bethlehem,220-230 E 3rd St,CTown Supermarkets,12/22/2016,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2016/12/c-town-bethlehem-pa.html
PA,Allentown,602 N 7th St,Supremo Foodmarket,1/1/2017,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2017/01/supremo-foods-allentown-pa.html
PA,Allentown,630 N 7th St,Little Apple Market,1/3/2017,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2017/01/little-apple-market-allentown-pa.html
NJ,Parsippany,435 N Beverwyck Rd,Foodtown,1/6/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/01/super-foodtown-lake-hiawatha-nj.html
NJ,Rahway,2325 Elizabeth Ave,Universal Supermarket,1/9/2017,Tour,CENTRAL NJ,,https://www.marketreportblog.com/2017/01/universal-supermarket-rahway-nj.html
NJ,Elizabeth,190 Elmora Ave,Elmora Farmers Market,1/25/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/01/elmora-farmers-market-elizabeth-nj.html
NJ,Union,965 Magie Ave,ACME Markets (former),1/27/2017,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2017/01/buy-rite-market-union-nj.html
NJ,Millburn,220 Main St,ShopRite,2/7/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2018/11/snapshot-shoprite-millburn-nj.html
NJ,Kenilworth,488 Kenilworth Blvd,Kenilworth Fresh Market,2/12/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/02/kenilworth-fresh-market-kenilworth-nj.html
MD,Hyattsville,7901 New Hampshire Blvd,Atlantic Supermarket,2/22/2017,Tour,GREATER WASHINGTON DC,,https://www.marketreportblog.com/2017/02/atlantic-supermarket-hyattsville-md.html
NJ,Flanders,293 US-206,Weis Markets,3/8/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/03/weis-market-flanders-nj.html
NJ,Flanders,90 Bartley Rd,ShopRite,3/10/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/03/shoprite-flanders-nj.html
CT,Bridgeport,500 Sylvan Ave,Food Bazaar Supermarket,3/14/2017,Tour,CONNECTICUT,,https://www.marketreportblog.com/2017/03/food-bazaar-bridgeport-ct.html
NJ,North Bergen,3147 John F. Kennedy Blvd,ShopRite,3/27/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/03/shoprite-north-bergen-nj.html
NJ,Morris Plains,329 Speedwell Ave,ACME Markets,4/4/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/04/acme-market-morris-plains-nj.html
NJ,Union,1350 Galloping Hill Rd,A Seabra Foods,4/13/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/04/a-seabra-foods-union-nj.html
NY,Port Chester,130 Midland Ave,Key Food Supermarkets,4/22/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/04/key-food-port-chester-ny.html
NJ,North Haledon,1068 High Mountain Rd,Foodtown,5/5/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/05/nicholas-markets-foodtown-north-haledon.html
NJ,Clifton,85 Ackerman Ave,Ideal Food Basket,5/7/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/05/ideal-marketplace-clifton-nj.html
NJ,Rockaway,437 US-46,ShopRite,5/10/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/05/shoprite-rockaway-nj.html
MA,Roxbury,450 Melnea Cass Blvd,Tropical Foods,5/13/2017,Tour,GREATER BOSTON,,https://www.marketreportblog.com/2017/05/tropical-foods-roxbury-ma.html
NJ,Elizabeth,838 E Grand St,Supermarkets Plus IGA,5/14/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/05/supermarkets-plus-iga-elizabeth-nj.html
NY,Airmont,250 NY-59,ShopRite,5/17/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/05/shoprite-airmont-ny.html
NY,Spring Valley,175 E Central Ave,Food Fair Wholesale Fresh Market,5/20/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/05/food-fair-spring-valley-ny.html
NJ,Jersey City,216 Sip Ave,Aquí Market,5/24/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/05/aqui-market-jersey-city-nj.html
NY,Spring Valley,210 N Main St,Compare Foods,5/27/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/05/compare-foods-spring-valley-ny.html
NJ,Fairview,289 Bergen Blvd,Key Food Marketplace,5/31/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/05/tour-key-food-marketplace-fairview-nj.html
NY,Spring Valley,289 N Main St,Bravo Supermarkets,6/3/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/06/tour-bravo-supermarket-spring-valley-ny.html
NY,Pawling,162 NY-22,Hannaford,6/7/2017,Tour,HUDSON VALLEY,,https://www.marketreportblog.com/2017/06/tour-hannaford-pawling-ny.html
NY,New City,180 S Main St,DeCicco Family Markets,6/10/2017,Tour,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2017/06/tour-decicco-family-market-new-city-ny.html
NJ,Belleville,414 Main St,Bell Farm Supermarket,6/12/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2018/01/revisit-bell-farms-belleville-nj.html
NJ,Belleville,414 Main St,Fine Fare Supermarkets,6/12/2017,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2017/06/tour-farmboy-superfresh-paterson-nj.html
